Kategorie: Alle Kategorien

Land,2013: (2014),2015: (2014)
Algerien,65 %,35 %
Republik Moldau,87 %,13 %
Armenien,85 %,15 %
Pakistan,85 %,15 %
Wallis und Futuna,100 %,
Kasachstan,81 %,19 %
Kuba,66 %,34 %
Tansania,87 %,13 %
Aserbaidschan,73 %,27 %
Irak,58 %,42 %
Turkmenistan,60 %,40 %
Marokko,68 %,32 %
Ägypten,66 %,34 %
São Tomé und Príncipe,78 %,22 %
Tunesien,75 %,25 %
Mauritius,78 %,22 %
Rumänien,77 %,23 %
Ukraine,79 %,21 %
Senegal,71 %,29 %
Nordkorea,49 %,51 %
Kambodscha,69 %,31 %
Philippinen,77 %,23 %
Vietnam,78 %,22 %
Belarus,77 %,23 %
Komoren,64 %,36 %
Katar,68 %,32 %
Kirgisistan,78 %,22 %
Libyen,68 %,32 %
Vereinigte Arabische Emirate,68 %,32 %
Sri Lanka,77 %,23 %
Bhutan,69 %,31 %
Kosovo,77 %,23 %
Palästina,81 %,19 %
Indonesien,76 %,24 %
Oman,66 %,34 %
Kamerun,61 %,39 %
Botsuana,76 %,24 %
Tadschikistan,79 %,21 %
Jamaika,80 %,20 %
Indien,73 %,27 %
Brunei Darussalam,71 %,29 %
Dschibuti,71 %,29 %
Trinidad und Tobago,64 %,36 %
Guinea-Bissau,72 %,28 %
Cabo Verde,66 %,34 %
Lesotho,73 %,27 %
Kiribati,68 %,32 %
Bahrain,64 %,36 %
Syrien,63 %,37 %
Angola,69 %,31 %
Haiti,72 %,28 %
Madagaskar,70 %,30 %
Malaysia,57 %,43 %
Côte d’Ivoire,60 %,40 %
Usbekistan,71 %,29 %
Togo,53 %,47 %
Slowakei,74 %,26 %
Malediven,78 %,22 %
Äquatorialguinea,59 %,41 %
Georgien,79 %,21 %
Gabun,60 %,40 %
Mayotte,66 %,34 %
Benin,63 %,37 %
Kolumbien,72 %,28 %
Kuwait,62 %,38 %
St. Vincent und die Grenadinen,79 %,21 %
Tonga,74 %,26 %
Ecuador,76 %,24 %
Fidschi,71 %,29 %
Marshallinseln,75 %,25 %
Zypern,68 %,32 %
Französisch-Polynesien,65 %,35 %
Jordanien,69 %,31 %
Mikronesien,75 %,25 %
Nicaragua,73 %,27 %
Peru,74 %,26 %
Griechenland,65 %,35 %
Panama,62 %,38 %
Portugal,66 %,34 %
Montserrat,100 %,
Guinea,48 %,52 %
St. Helena,71 %,29 %
Albanien,77 %,23 %
Singapur,60 %,40 %
Kenia,82 %,18 %
Nördliche Marianen,73 %,27 %
Honduras,71 %,29 %
Mosambik,63 %,37 %
Dominikanische Republik,76 %,24 %
Spitzbergen und Jan Mayen,43 %,57 %
Seychellen,67 %,33 %
Lettland,72 %,28 %
Laos,67 %,33 %
Grenada,72 %,28 %
Barbados,71 %,29 %
Mongolei,80 %,20 %
Spanien,63 %,37 %
Russland,68 %,32 %
Saudi-Arabien,61 %,39 %
Niger,64 %,36 %
Island,70 %,30 %
Puerto Rico,63 %,37 %
Polen,72 %,28 %
Brasilien,56 %,44 %
Gibraltar,57 %,43 %
Libanon,58 %,42 %
Ungarn,73 %,27 %
Namibia,66 %,34 %
Suriname,72 %,28 %
Mauretanien,70 %,30 %
Bangladesch,71 %,29 %
Mali,56 %,44 %
Burkina Faso,51 %,49 %
Guatemala,71 %,29 %
Kongo-Brazzaville,51 %,49 %
Guyana,76 %,24 %
Zentralafrikanische Republik,53 %,47 %
Falklandinseln (Malwinen),33 %,67 %
Anguilla,67 %,33 %
China,92 %,8 %
Serbien,73 %,27 %
Karibische Niederlande,61 %,39 %
St. Kitts und Nevis,72 %,28 %
Kroatien,73 %,27 %
Türkei,69 %,31 %
Nepal,66 %,34 %
Niederlande,54 %,46 %
Malta,63 %,37 %
Ghana,71 %,29 %
Amerikanische Jungferninseln,67 %,33 %
Curaçao,62 %,38 %
Guam,66 %,34 %
Kaimaninseln,59 %,41 %
Estland,71 %,29 %
Dominica,73 %,27 %
Norwegen,62 %,38 %
Slowenien,68 %,32 %
Tschad,50 %,50 %
Tschechien,69 %,31 %
Sint Maarten,66 %,34 %
Burundi,58 %,42 %
Bulgarien,71 %,29 %
St. Barthélemy,60 %,40 %
Kanada,59 %,41 %
Nordmazedonien,72 %,28 %
Chile,60 %,40 %
Bermuda,59 %,41 %
Mexiko,65 %,35 %
Bahamas,73 %,27 %
Vanuatu,58 %,42 %
Jemen,65 %,35 %
Luxemburg,51 %,49 %
Liechtenstein,50 %,50 %
El Salvador,71 %,29 %
Andorra,56 %,44 %
St. Lucia,71 %,29 %
Italien,57 %,43 %
Südafrika,55 %,45 %
Eswatini,65 %,35 %
Simbabwe,71 %,29 %
San Marino,52 %,48 %
Guadeloupe,59 %,41 %
Monaco,48 %,52 %
Belgien,57 %,43 %
Turks- und Caicosinseln,65 %,35 %
Österreich,54 %,46 %
Paraguay,63 %,37 %
Uruguay,62 %,38 %
Deutschland,51 %,49 %
Macau,62 %,38 %
Afghanistan,69 %,31 %
Eritrea,40 %,60 %
Réunion,58 %,42 %
Kongo-Kinshasa,51 %,49 %
Schweiz,52 %,48 %
Dänemark,62 %,38 %
Aruba,57 %,43 %
Antigua und Barbuda,69 %,31 %
Belize,71 %,29 %
Martinique,54 %,46 %
Australien,55 %,45 %
Britische Jungferninseln,66 %,34 %
Neuseeland,58 %,42 %
Guernsey,46 %,54 %
Litauen,72 %,28 %
Französisch-Guayana,59 %,41 %
Hongkong,61 %,39 %
Ruanda,71 %,29 %
Liberia,53 %,47 %
Färöer,63 %,37 %
Bosnien und Herzegowina,76 %,24 %
Irland,60 %,40 %
Samoa,68 %,32 %
Argentinien,54 %,46 %
Amerikanisch-Samoa,57 %,43 %
Britisches Territorium im Indischen Ozean,100 %,
Jersey,47 %,53 %
Nigeria,61 %,39 %
Vereinigte Staaten,58 %,42 %
Isle of Man,48 %,52 %
Frankreich,53 %,47 %
Myanmar,79 %,21 %
Israel,69 %,31 %
Sambia,65 %,35 %
Venezuela,71 %,29 %
Montenegro,70 %,30 %
Schweden,60 %,40 %
Costa Rica,60 %,40 %
Neukaledonien,56 %,44 %
Gambia,63 %,37 %
St. Pierre und Miquelon,55 %,45 %
St. Martin,58 %,42 %
Thailand,74 %,26 %
Ålandinseln,58 %,42 %
Palau,53 %,47 %
Sierra Leone,59 %,41 %
Uganda,71 %,29 %
Cookinseln,50 %,50 %
Vereinigtes Königreich,54 %,46 %
Somalia,73 %,27 %
Grönland,67 %,33 %
Finnland,62 %,38 %
Papua-Neuguinea,59 %,41 %
Timor-Leste,65 %,35 %
Bolivien,45 %,55 %
Salomonen,62 %,38 %
Iran,71 %,29 %
Sudan,68 %,32 %
Äthiopien,57 %,43 %
Malawi,62 %,38 %
Südkorea,70 %,30 %
Taiwan,61 %,39 %
Südsudan,67 %,33 %
Japan,54 %,46 %
Tuvalu,,
Bouvetinsel,,
Amerikanische Überseeinseln,,
Pitcairninseln,,
Vatikanstadt,,
Nauru,,
Tokelau,,
Weihnachtsinsel,,
Niue,,
Französische Süd- und Antarktisgebiete,,
Antarktis,,
Heard und McDonaldinseln,,
Norfolkinsel,,
Westsahara,,
Südgeorgien und die Südlichen Sandwichinseln,,
Kokosinseln,,
